;comments
544;"Schönes Appartment in guter Lage, Parken - ausser im 10 Minuten entfernt liegenden Parkhaus - schwierig bis unmöglich. Die Wohnung selbst ist ""nur airbnb"", alles da was man braucht, geschmackvoll eingerichtet und fussläufig zu Bahnhof und Altstadt Zürich. Alles prima, eine klare Empfehlung."
544;Die Lage hat mir sehr gut gefallen, es ist sehr zentral und die Wohnung hat eine sehr schöne Aussicht
544;Schöner Ort. Aufmerksamer Gastgeber.
544;Tolle Wohnung! Immer gerne wieder! Tania ist eine sehr zuvorkommende Gastgeberin!
544;Eine tolle zentrale Wohnung mit schönen Ausblick vom Balkon auf den Uetliberg, sehr sauber und alles vorhanden was man so brauch. Wir hatten eine sehr schöne Zeit in Tanias Wohnung :)
544;Die Wohnung ist sehr gut und zentral gelegen, von der Struktur der Räumlichkeiten her sehr gut für eine Familie nutzbar. Zwei Balkone, einer davon sehr geräumig und mit wunderschöner Aussicht auf den Uetliberg. Die Kommunikation mit Tania war jederzeit hervorragend und sehr verlässlich, sie hat sofort auf jede Frage freundlich geantwortet und war sehr hilfsbereit. Die Wohnung war sehr sauber, die Übergaben waren einfach. Den Preis empfanden wir als eher hoch, aber es ist halt Zürich.
544;"Schönes Appartment in guter Lage, Parken - ausser im 10 Minuten entfernt liegenden Parkhaus - schwierig bis unmöglich. Die Wohnung selbst ist ""nur airbnb"", alles da was man braucht, geschmackvoll eingerichtet und fussläufig zu Bahnhof und Altstadt Zürich. Alles prima, eine klare Empfehlung."
544;Die Lage hat mir sehr gut gefallen, es ist sehr zentral und die Wohnung hat eine sehr schöne Aussicht
544;Schöner Ort. Aufmerksamer Gastgeber.
544;Wunderbare und sehr komfortable Wohnung. In Übereinstimmung mit der Beschreibung und den Bildern. Tania steht für alle Zweifel jederzeit zur Verfügung. Unterkunft empfehlenswert!
545;"Dies ist ein schönes Studio in perfekter zentraler Lage. Klar, dass so zentral die Nächte etwas kürzer sind.
Antonio war sehr nett und hat uns herzlich empfangen und alles gut erklärt. Auch der Checkout war unkompliziert.
Kommen gerne wieder und bringen dann zwei Weingläser mit. 😊"
545;"Die Kommunikation mit Antonio lief einwandfrei und er ist uns beim Check in und Check out sehr entgegengekommen! Das Apartment ist auch sehr hübsch, man hat alles was man braucht und besonders die Küche ist voll ausgestattet! Das Apartment liegt direkt im Zentrum und alle wichtigen Sehenswürdigkeiten sind fußläufig erreichbar. Alles in allem glaube ich kaum, dass man ein besseres Apartment mit so gutem Preis-Leistungs-Verhältnis hier in Zürich findet und wir würden sofort wiederkommen!

Der Vollständigkeit halber muss ich jedoch anmerken, dass es in der Nacht recht laut war, da rundherum einige Bars sind. Für uns war das gar kein Problem, aber Leute mit empfindlichem Schlaf können sich daran stören."
545;Es ist eine tolle Unterkunft im Zentrum Zürichs. Alles war in der Nähe, einschließlich des Hauptbahnhofs. Antonio war auch sehr reaktionsschnell und freundlich. Ich werde definitiv wieder dort übernachten, wenn ich nach Zürich zurückkomme.
545;Geniale Lage, tolle Ausstattung und großartige Kommunikation mit dem Gastgeber. Immer gerne wieder.
545;Wir wurden freundlich beim Check-in empfangen, haben die Nacht im zentralen Airbnb genossen, obwohl es etwas laut war.
545;"Top Lage der Wohnung! Diese war sauber, gut ausgestattet und mega zentral. Fußläufig ist eine große Auswahl an Restaurants und Bars. Trotzdem war es kein Problem direkt vor der Wohnung einen Parkplatz zu bekommen.
Antonio war leicht zu erreichen und konnte alle Fragen schnell beantworten.
Gerne wieder :)"
545;"Dies ist ein schönes Studio in perfekter zentraler Lage. Klar, dass so zentral die Nächte etwas kürzer sind.
Antonio war sehr nett und hat uns herzlich empfangen und alles gut erklärt. Auch der Checkout war unkompliziert.
Kommen gerne wieder und bringen dann zwei Weingläser mit. 😊"
545;"Die Kommunikation mit Antonio lief einwandfrei und er ist uns beim Check in und Check out sehr entgegengekommen! Das Apartment ist auch sehr hübsch, man hat alles was man braucht und besonders die Küche ist voll ausgestattet! Das Apartment liegt direkt im Zentrum und alle wichtigen Sehenswürdigkeiten sind fußläufig erreichbar. Alles in allem glaube ich kaum, dass man ein besseres Apartment mit so gutem Preis-Leistungs-Verhältnis hier in Zürich findet und wir würden sofort wiederkommen!

Der Vollständigkeit halber muss ich jedoch anmerken, dass es in der Nacht recht laut war, da rundherum einige Bars sind. Für uns war das gar kein Problem, aber Leute mit empfindlichem Schlaf können sich daran stören."
545;Es ist eine tolle Unterkunft im Zentrum Zürichs. Alles war in der Nähe, einschließlich des Hauptbahnhofs. Antonio war auch sehr reaktionsschnell und freundlich. Ich werde definitiv wieder dort übernachten, wenn ich nach Zürich zurückkomme.
545;"Vielen Dank,
ich hoffe, bis dann, bis bald, mein Studio ☺️"
545;Ich habe meinen Aufenthalt genossen, danke!
546;Alles top! Es hat uns sehr gut gefallen!
546;",
 · Last-minute-reise
tolle Unterkunft"
547;Super Unterkunft, ideal für Kurzaufenthalt, perfekte Lage. Der Strassenlärm habe ich nur gering wahr genommen, dies hat mich sehr positiv überrascht. Jeyla hat auf meine Fragen schnell und zuvorkommend reagiert. Ich komme gerne wieder
547;Wir waren schon zum zweiten Mal hier und es war alles tipp topp :)
547;Sehr schöne und einfache Unterkunft. Sauber und einfaches Check-in.
547;Dieser Ort war großartig! Genau wie beworben und der Gastgeber war super hilfsbereit
547;Sehr praktisch gelegen, direkt beim Bahnhof. Wir waren zufrieden!
547;Sehr sauber, zentral am Bahnhof, genau wie auf den Fotos. Gerne wieder, danke!
547;Super Unterkunft, ideal für Kurzaufenthalt, perfekte Lage. Der Strassenlärm habe ich nur gering wahr genommen, dies hat mich sehr positiv überrascht. Jeyla hat auf meine Fragen schnell und zuvorkommend reagiert. Ich komme gerne wieder
547;Wir waren schon zum zweiten Mal hier und es war alles tipp topp :)
547;Sehr schöne und einfache Unterkunft. Sauber und einfaches Check-in.
547;Dieser Ort war großartig! Genau wie beworben und der Gastgeber war super hilfsbereit
547;Schöne komfortable Unterkunft , sehr leicht vom Hauptbahnhof aus zu erreichen. Direkt vor einem der Ausgänge.
548;"Eine wunderschöne, geräumige Wohnung, die genauso aussieht wie auf den Bildern dargestellt.
Die Kommunikation war einwandfrei und auch die Lage ist toll!
Absolut zu empfehlen :-)"
548;Wir hatten eine sehr schöne Zeit bei Tania. Die Wohnung ist geräumig, sauber und perfekt ausgerichtet für 4 Personen. Die Stadt ist in Fußnähe zu erreichen. Die Kommunikation verlief jeder Zeit reibungslos. Vielen Dank :)
548;Die Wohnung liegt sehr zentral und ist gut an den öffentlichen Verkehr angebunden. Sie ist gut eingerichtet und unser Gast hat sich sehr wohl gefühlt.
548;Ein sehr schönes und gut ausgestattetes Apartment in toller Lage. Alles hat super reibungslos geklappt. Ich würde dort jederzeit wieder wohnen.
548;War ne super schöne Zeit! Gerne wieder!
548;Super Apartment in toller Lage. War alles wie in der Beschreibung. Gerne wieder.
548;"Eine wunderschöne, geräumige Wohnung, die genauso aussieht wie auf den Bildern dargestellt.
Die Kommunikation war einwandfrei und auch die Lage ist toll!
Absolut zu empfehlen :-)"
548;Wir hatten eine sehr schöne Zeit bei Tania. Die Wohnung ist geräumig, sauber und perfekt ausgerichtet für 4 Personen. Die Stadt ist in Fußnähe zu erreichen. Die Kommunikation verlief jeder Zeit reibungslos. Vielen Dank :)
548;Die Wohnung liegt sehr zentral und ist gut an den öffentlichen Verkehr angebunden. Sie ist gut eingerichtet und unser Gast hat sich sehr wohl gefühlt.
548;Ein sehr schönes und gut ausgestattetes Apartment in toller Lage. Alles hat super reibungslos geklappt. Ich würde dort jederzeit wieder wohnen.
548;Sehr schöne und geräumige Wohnung! Sehr zentral gelegen und sehr sauber!
549;"Die Wohnung ist geräumig und wirkt sehr aufgeräumt und luftig. (Es sind jedoch nicht alle Möbel auf den Photos auch tatsächlich in der Wohnung). Man hat einen wunderbaren Blick vom 12. Stock und hat (in der warmen Jahreszeit) einen schönen großen überdachten Balkon.
Wenn man das Haus mal gefunden hat (es ist von der Straße her gesehen nach hinten versetzt) ist es einfach, mit dem Bus nach Oerlikon zu fahren und von dort hat man alle Verbindungen.
Die Kommunikation hat gut geklappt, auch die Schlüsselübergabe, ich habe die Gastgeber dabei jedoch nicht getroffen.
War waren zu zweit in der Wohnung, es wäre gut möglich eine Familie (Eltern und 2 Kinder) dort unterzubringen.
Die zusätzliche Besuchertoilette ist vorteilhaft.
Insgesamt ein schöner Aufenthalt, und eine Empfehlung, auch wenn der TV nicht ging."
549;Super Wohnung, war beruflich in Oerlikon und es hat alles gut gepasst!
549;"Schöne freundliche helle Wohnung mit guter Zimmeraufteilung, mit Küche zum kochen, backen, mit Balkon, zwei Schlafzimmer,
Gäste WC, mit Tiefgaragen Parkplatz, Supermärkte und Dinge des täglichen Bedarfs in der Nähe, Bushaltestelle nah, wer mit ÖPNV fahren möchte.
Gerne wieder.
Alfred & Marita aus D."
549;Schöne Apartment im 12. Stock. Öffentliche Verkehrsmittel (Zug, Tram, Bus) in der Nähe. Tiefgaragenplatz ist sicher ein Pluspunkt. Gut ausgestattete Küche. Kleine Supermarkt und Bäcker bequem zu Fuß erreichbar. Waschmaschine und Trockner vorhanden (bei längerem Aufenthalt oder wenn man mit Kinder reist ist es sehr praktisch). Preis-Leistung-Verhältnisse gut.
549;"Ein wirklich schönes Apartment, sehr gut ausgestattet, schön geschnitten und in günstiger Lage.
Bei unserem Besuch gab es Probleme mit dem Tiefgaragen-Parkplatz, der wohl anderweitig vermietet ist!? Aber es gab eine schnelle Lösung mit dem Gastgeber.
Leider waren wir mit der Sauberkeit im Apartment nicht zufrieden - die Grundsauberkeit des Bodens und der Bäder ist verbesserungsbedürftig. Außerdem gab es noch weitere Punkte, die wir bezüglich der Sauberkeit in keinem anderen Airbnb erlebt haben, diese wurden dem Gastgeber mitgeteilt. Eine Verbesserung wurde für die Zukunft versprochen."
549;Sehr schöne Wohnung, gut ausgestattet, nett eingerichtet. Gute Lage um überall schnell mit der Tram hinzufahren. Jederzeit wieder
549;"Die Wohnung ist geräumig und wirkt sehr aufgeräumt und luftig. (Es sind jedoch nicht alle Möbel auf den Photos auch tatsächlich in der Wohnung). Man hat einen wunderbaren Blick vom 12. Stock und hat (in der warmen Jahreszeit) einen schönen großen überdachten Balkon.
Wenn man das Haus mal gefunden hat (es ist von der Straße her gesehen nach hinten versetzt) ist es einfach, mit dem Bus nach Oerlikon zu fahren und von dort hat man alle Verbindungen.
Die Kommunikation hat gut geklappt, auch die Schlüsselübergabe, ich habe die Gastgeber dabei jedoch nicht getroffen.
War waren zu zweit in der Wohnung, es wäre gut möglich eine Familie (Eltern und 2 Kinder) dort unterzubringen.
Die zusätzliche Besuchertoilette ist vorteilhaft.
Insgesamt ein schöner Aufenthalt, und eine Empfehlung, auch wenn der TV nicht ging."
549;Super Wohnung, war beruflich in Oerlikon und es hat alles gut gepasst!
549;"Schöne freundliche helle Wohnung mit guter Zimmeraufteilung, mit Küche zum kochen, backen, mit Balkon, zwei Schlafzimmer,
Gäste WC, mit Tiefgaragen Parkplatz, Supermärkte und Dinge des täglichen Bedarfs in der Nähe, Bushaltestelle nah, wer mit ÖPNV fahren möchte.
Gerne wieder.
Alfred & Marita aus D."
549;Schöne Apartment im 12. Stock. Öffentliche Verkehrsmittel (Zug, Tram, Bus) in der Nähe. Tiefgaragenplatz ist sicher ein Pluspunkt. Gut ausgestattete Küche. Kleine Supermarkt und Bäcker bequem zu Fuß erreichbar. Waschmaschine und Trockner vorhanden (bei längerem Aufenthalt oder wenn man mit Kinder reist ist es sehr praktisch). Preis-Leistung-Verhältnisse gut.
549;Sehr schöne Lage in zentraler Lage - 12 Etage mit Aussicht in die Berge !
551;Erich hat mir mit Rat und Tat sehr geholfen, in Zürich anzukommen. Er war immer ansprechbar, und in seiner Wohnung durfte ich mich wie zu Hause fühlen. Es war alles darin, was ich brauchte, und noch einiges an Komfort mehr. Die Wohnung liegt ruhig und doch zentral, man kommt schnell in die Stadt und auch schnell hinaus. Sehr genossen habe ich die Terrasse. Ungestört an der frischen Luft sitzen oder nach draußen auf die Pflanzen schauen können, das hat mir die Tage noch angenehmer gemacht. Vielen Dank, lieber Erich.
551;Sehr schön, wie auf den Bildern.
551;Einfach nur hervorragend vom Check in bis zum Check out . Sehr empfehlenswert und immer wieder gerne .
551;"Schöne Wohnung in Stadtnähe.
Wohnung war sehr sauber und sah genau wie auf den Fotos aus.
Sehr empfehlenswert für einen Aufenthalt in Zürich."
551;Erich ist ein Spitzengastgeber, absolut hilfsbereit, hat uns persönlich empfangen und die super ausgestattete Wohnung erklärt. 5 Sterne
551;Ein toller Aufenthalt, mit tollem Gastgeber und außergewöhnlichen Ambiente.
551;Erich hat mir mit Rat und Tat sehr geholfen, in Zürich anzukommen. Er war immer ansprechbar, und in seiner Wohnung durfte ich mich wie zu Hause fühlen. Es war alles darin, was ich brauchte, und noch einiges an Komfort mehr. Die Wohnung liegt ruhig und doch zentral, man kommt schnell in die Stadt und auch schnell hinaus. Sehr genossen habe ich die Terrasse. Ungestört an der frischen Luft sitzen oder nach draußen auf die Pflanzen schauen können, das hat mir die Tage noch angenehmer gemacht. Vielen Dank, lieber Erich.
551;Sehr schön, wie auf den Bildern.
551;Einfach nur hervorragend vom Check in bis zum Check out . Sehr empfehlenswert und immer wieder gerne .
551;"Schöne Wohnung in Stadtnähe.
Wohnung war sehr sauber und sah genau wie auf den Fotos aus.
Sehr empfehlenswert für einen Aufenthalt in Zürich."
551;Erich ist sehr freundlich und hilfsbereit bei allem, was wir brauchten. Seine Unterkunft war komfortabel und sauber und meine beiden Kinder haben gut geschlafen. Wir liebten alle Techniker und das On-Demand-Soda-Wasser. Es gibt auch einen sehr schönen Außenbereich mit einem Grill. Die Lage ist ein paar Häuserblocks von einem Hauptzug entfernt, der sehr regelmäßig kommt und uns überall hin brachte, wo wir sein mussten. Danke Erich für den tollen Aufenthalt!
552;"Die Kommunikation mit Tania hat sehr gut geklappt, auch die Beschreibung zur Wohnung/ Schlüsselübergabe etc.
die Wohnung an sich ist absolut in Ordnung, es war alles da was wir brauchten. Lediglich der in mehreren Zimmern vorhandene Schimmel an den Wänden müsste mal beseitigt werden.. ansonsten war alles super."
552;Check in war sehr unproblematisch. Bei Fragen haben wir sehr schnell Informationen erhalten. Die Unterkunft ist sehr gut gelegen. Mit der Tram kann man in 10 Minuten ins Zentrum gelangen. Wir haben uns hier sehr wohl gefühlt.
552;Super Gastgeberin! Tolle Apartments ! Schöne Ausstattung und immer sauber🥰
552;Schöner Gegend, saubere Wohnung und gute Küche. 🙂
552;"Es war ein sehr schöner Aufenthalt!
Tolle saubere Wohnung, wie in der Beschreibung angegeben."
552;Wir waren zum wiederholten Mal in einer Wohnung von Tania und waren wieder sehr zufrieden.
552;"Die Kommunikation mit Tania hat sehr gut geklappt, auch die Beschreibung zur Wohnung/ Schlüsselübergabe etc.
die Wohnung an sich ist absolut in Ordnung, es war alles da was wir brauchten. Lediglich der in mehreren Zimmern vorhandene Schimmel an den Wänden müsste mal beseitigt werden.. ansonsten war alles super."
552;Check in war sehr unproblematisch. Bei Fragen haben wir sehr schnell Informationen erhalten. Die Unterkunft ist sehr gut gelegen. Mit der Tram kann man in 10 Minuten ins Zentrum gelangen. Wir haben uns hier sehr wohl gefühlt.
552;Super Gastgeberin! Tolle Apartments ! Schöne Ausstattung und immer sauber🥰
552;Schöner Gegend, saubere Wohnung und gute Küche. 🙂
552;Die Wohnung ist sehr schön und liegt super Lage.
553;Patrik ist ein sehr netter Gastgeber. Die Wohnung ist super eingerichtet und befindet sich in sehr ruhiger Lage mit einer großen Wiese und Wald ringsherum. Wer einmal Ruhe genießen möchte , dem empfehle ich bei Patrik einige Tage bzw. Wochen zu verbringen. Einfach super. Wir waren begeistert.
553;"Wunderbar gelegene Unterkunft auf dem Fuchspass.
Die Wohnung ist sehr schön eingerichtet und man findet alles was man braucht.

Die Vermieter sind überaus freundlich und angenehm.

Nur zu empfehlen."
553;Die Unterkunft ist super und Patrik ist ein sehr aufmerksamer Gastgeber. Wir waren zum zweiten Mal dort und kommen bestimmt wieder. Einzige kleine Unsicherheit: Bei Sturm wird die Lage am Waldrand wirklich zur Herausforderung, weil der Weg zwingend durch den Wald führt.
553;"Wunderschöne und ruhige Unterkunft mit sehr nettem Gastgeber.
Ich kann diese Wohnung und den Ort sehr empfehlen und freue mich auf den nächsten Besuch."
553;Patrick ist sehr sympathisch, hilfsbereit, sehr gut erreichbar und kommunikativ. Wir haben uns sehr wohl gefühlt. Kann Unterkunft sehr weiterempfehlen.
553;"Es ist eine sehr schöne Wohnung auf 2 Geschossen, mit geschmackvollen Einrichtung und in absolut ruhiger Lage am Käferberg.
Das Restaurant und kleine Shops in der ETH sind zu Fuß erreichbar.
Sehr zu empfehlen.
FB"
553;Patrik ist ein sehr netter Gastgeber. Die Wohnung ist super eingerichtet und befindet sich in sehr ruhiger Lage mit einer großen Wiese und Wald ringsherum. Wer einmal Ruhe genießen möchte , dem empfehle ich bei Patrik einige Tage bzw. Wochen zu verbringen. Einfach super. Wir waren begeistert.
553;"Wunderbar gelegene Unterkunft auf dem Fuchspass.
Die Wohnung ist sehr schön eingerichtet und man findet alles was man braucht.

Die Vermieter sind überaus freundlich und angenehm.

Nur zu empfehlen."
553;Die Unterkunft ist super und Patrik ist ein sehr aufmerksamer Gastgeber. Wir waren zum zweiten Mal dort und kommen bestimmt wieder. Einzige kleine Unsicherheit: Bei Sturm wird die Lage am Waldrand wirklich zur Herausforderung, weil der Weg zwingend durch den Wald führt.
553;"Die Wohnung von Patrick ist wunderbar ausgestattet, schöne Materialien, alles ist da und auch ein paar Extras, z.B. im tollen Badezimmer. Wir waren als Paar mit einer erwachsenen Tochter da. Die zwei Etagen geben genug Raum und die Fensterfronten eine tolle Sicht ins Grüne. Vom Balkon sieht man die Sterne. Und das mitten in Zürich.
Von der ÖV-Haltestelle ist es eine Viertelstunde zu Fuss. Patrick hätte uns bei viel Gepäck aber auch abgeholt.
Patrick ist ein sehr herzlicher und aufmerksamer Gastgeber."
554;"Hochwertige 3-Zimmer-Wohnung mit moderner Einrichtung (vor allem bei TV und elektronischen Medien).

Die Wohnung ist nicht billig - aber ein Mercedes ist auch nicht billig. Preiswert ist die Wohnung in jedem Fall.

Neben den wohnungseigenen Vorteilen ist auf die ideale Verkehrslage (ganz nah zum Bahnhof Hardbrücke, was aber lärmmässig nicht stört) und die vielen Läden und Lokale in der Umgebung (Coop, Starbucks, ...) hinzuweisen. Und dann gibt's noch die Limmat in der Nähe...

Thomas stand mit uns in problemloser Whatsapp-Verbindung, wenn ich irgendeine Frage hatte."
554;Großartiges Apartment in einer trendigen Umgebung. Ich bin sehr nett von Thomas empfangen worden. Das Apartment ist schick, sehr hell, bestens ausgestattet, tolle Terrasse und man kann sich wirklich wohlfühlen!
554;Von A bis Z eine super Aufenthalt
554;Absolut bestes Airbnb Erlebnis. Lage optimal Nähe Bahnhof. Helle, große Wohnung mit allem was man braucht. Und äußerst sauber. Jederzeit gerne wieder:).
554;Wir hatten einen tollen Aufenthalt in Thomas‘ Apartment. Er war so freundlich, uns am Bahnhof abzuholen, führte uns durch die Wohnung, schlug uns Sehenswürdigkeiten vor und war sehr hilfsbereit. Die Lage ist großartig und wir konnten entlang des Flusses in die Stadt laufen. Ich kann einen Aufenthalt im Thomas’ Air BnB auf jeden Fall empfehlen.
554;Tolle Wohnung, noch etwas schöner und geräumiger als von den Fotos her zu erwarten. Sehr angenehme Kommunikation! Sehr gerne wieder!
554;"Hochwertige 3-Zimmer-Wohnung mit moderner Einrichtung (vor allem bei TV und elektronischen Medien).

Die Wohnung ist nicht billig - aber ein Mercedes ist auch nicht billig. Preiswert ist die Wohnung in jedem Fall.

Neben den wohnungseigenen Vorteilen ist auf die ideale Verkehrslage (ganz nah zum Bahnhof Hardbrücke, was aber lärmmässig nicht stört) und die vielen Läden und Lokale in der Umgebung (Coop, Starbucks, ...) hinzuweisen. Und dann gibt's noch die Limmat in der Nähe...

Thomas stand mit uns in problemloser Whatsapp-Verbindung, wenn ich irgendeine Frage hatte."
554;Großartiges Apartment in einer trendigen Umgebung. Ich bin sehr nett von Thomas empfangen worden. Das Apartment ist schick, sehr hell, bestens ausgestattet, tolle Terrasse und man kann sich wirklich wohlfühlen!
554;Von A bis Z eine super Aufenthalt
554;Absolut bestes Airbnb Erlebnis. Lage optimal Nähe Bahnhof. Helle, große Wohnung mit allem was man braucht. Und äußerst sauber. Jederzeit gerne wieder:).
554;Wir hatten einen tollen Aufenthalt in Thomas‘ Apartment. Er war so freundlich, uns am Bahnhof abzuholen, führte uns durch die Wohnung, schlug uns Sehenswürdigkeiten vor und war sehr hilfsbereit. Die Lage ist großartig und wir konnten entlang des Flusses in die Stadt laufen. Ich kann einen Aufenthalt im Thomas’ Air BnB auf jeden Fall empfehlen.
554;"Wir hatten einen fantastischen 10-tägigen Aufenthalt in dieser Wohnung, und hier ist der Grund:
- Martina und Thomas sind wunderbare Gastgeber. Thomas begrüßte uns am Bahnhof und brachte uns zur Wohnung, wo wir auch Martina trafen. Sie führten uns durch die Wohnung und erklärten uns jedes Detail.
- Die Wohnung war makellos, einschließlich der Küche; mit makellosen Gläsern, Porzellan und Kochutensilien.
- Das Bett war sehr bequem. Sowohl im Schlafzimmer als auch im Foyer gab es jede Menge gut beleuchteten Stauraum für Kleidung.
- Das Badezimmer hatte eine riesige Duschabtrennung. Im Waschbeckenbereich gab es ausreichend Stauraum für alle wichtigen Utensilien
- Auch das Wohnzimmer und das Arbeitszimmer waren sehr gut ausgestattet. Die Wohnung war insgesamt sehr geschmackvoll eingerichtet.
- Die Küche war elegant und voll funktionsfähig. Wir könnten komplette Mahlzeiten kochen und unsere Familie unterhalten.
- Die Beleuchtung war durchweg perfekt, mit sorgfältig ausgewählten Dimmern und stimmungsvoller Beleuchtung.
Alles in allem empfehlen wir diese Wohnung wärmstens und kommen gerne wieder."
556;"Die Wohnung war sehr gut gelegen, sauber und funktionell. Parken war mit einem vorher gebuchten Ticket für die blaue Zone kein Problem.
Vielen Dank auch für den Stadtplan und den Züri-Sack.
Wir kommen gerne wieder.
Katharina mit Familie aus Berlin"
556;Ruhige und angenehme Wohnung, in der wir zwei Nächte mit unseren beiden Kindern verbracht haben. Wir empfehlen es!
556;"Perfekter Ort zum übernachten.
Gute Anbindung an das Stadtzentrum und ruhige Lage.
Super sauberes Haus und super schönes Design.
10/10 würde es empfehlen!"
556;Es wäre schön gewesen, wenn Duschgel, Shampoo usw. vorhanden gewesen wären. Ansonsten war es eine tolle Erfahrung.
556;Es war alles super beschrieben und die Wohnung ist der Hammer Lage und Entfernung zur Stadt und Stadion is auch gut
556;Tolle Wohnung, sauber, alles vorhanden, unkomplizierte Schlüsselübergabe, ich bin sehr zufrieden und kann Relocation Zurich wärmstens weiterempfehlen. Meine nächste Buchung wird bestimmt auch wieder bei dieser Firma sein. Danke für den wundervollen Aufenthalt!
556;"Die Wohnung war sehr gut gelegen, sauber und funktionell. Parken war mit einem vorher gebuchten Ticket für die blaue Zone kein Problem.
Vielen Dank auch für den Stadtplan und den Züri-Sack.
Wir kommen gerne wieder.
Katharina mit Familie aus Berlin"
556;Ruhige und angenehme Wohnung, in der wir zwei Nächte mit unseren beiden Kindern verbracht haben. Wir empfehlen es!
556;"Perfekter Ort zum übernachten.
Gute Anbindung an das Stadtzentrum und ruhige Lage.
Super sauberes Haus und super schönes Design.
10/10 würde es empfehlen!"
556;Es wäre schön gewesen, wenn Duschgel, Shampoo usw. vorhanden gewesen wären. Ansonsten war es eine tolle Erfahrung.
556;"Wenn Sie auf der Suche nach einer zentralen Unterkunft sind, müssen Sie dieses Apartment buchen.
Wir sind eine dreiköpfige Familie (Erwachsene) und fanden, dass diese Wohnung genau das Richtige für uns ist – nicht zu geräumig, aber auch nicht zu eng. Es war eine schöne, moderne und saubere Wohnung mit eigenen Büroräumen (die mein Vater und ich sehr schätzten) sowie Highspeed-Internet und Smart-TV. Das Badezimmer ist mit einer voll funktionsfähigen Waschmaschine und Trockner sowie 24 Stunden heißem Wasser ausgestattet.

Die Wohnung liegt nur wenige Gehminuten von COOP und Migros entfernt (wir sind im wahrsten Sinne des Wortes zu beiden Orten gelaufen), es dauert etwa 5 Minuten. (langsamer Spaziergang) zu diesen beiden Geschäften. Die Tramstation ist ebenfalls zu Fuß erreichbar (direkt gegenüber der Migros).

Wenn Sie gerne spazieren gehen, können Sie zum Globus (Einkaufszentrum) in der Bahnhofstraße laufen.

Mein Vorschlag wäre, wenn Sie zu viel Gepäck haben, wäre es am besten, ein Taxi zu nehmen, um zur Wohnung zu gelangen. Wir haben von Zürich HB 30 CHF für die Wohnung bezahlt."
557;"Was für ein herrliches Plätzchen an Ruhe, Natur und Gastfreundschaft in unmittelbarer Nähe der geschäftigen Stadt!
Wir haben uns in dem stilvollen, durchdachten und gemütlichen Wagen rundum zuhause gefühlt: freundliche + unkomplizierte Gastgeberin, köstliches Frühstück, umgeben von Wald, Wiesen & Feldern, mit der Straßenbahn in 15 Minuten am Hauptbahnhof…
Gerne kommen wir wieder und empfehlen dieses Kleinod weiter, danke Line!"
557;War als Überraschungsgeschenk für meine Tochter und ihren Freund geplant und absolut gelungen 😀. Sie hatten einen wunderbaren Aufenthalt. Line war nicht anwesend - trotzdem hat alles wunderbar geklappt und die Kommunikation klappte immer sehr schnell und unkompliziert. Werde euren wunderbaren Ort auf jeden Fall weiter empfehlen und hoffentlich auch selbst mal dort eine Auszeit geniessen.
557;Wunderbar ruhiger Ort zum Entspannen nach einem Tag Sightseeing in Zürich. Wir durften die Feuerstelle, das Trampolin und die Schaukeln mitbenutzen. Auch die Tiere fand unsere Tochter toll. Das Tiny Housse ist sehr geschmackvoll eingerichtet und hat alles, was es braucht für einen angenehmen Aufenthalt (Stauraum, Badezimmer, Kühlschrank, Kaffee-Maschine, Tisch drinnen und draussen, etc.). Wir kommen sicher wieder.
557;Traumhaftes, blitzsauberes Häuschen in toller grüner Lage, fantastisches Frühstück - sehr zu empfehlen💓
557;"Ein Kleinod. Idylle pur. Abtauchen und am liebsten dort bleiben!
Wir waren zu dritt und uns hat es an nichts gefehlt."
557;Sehr gemütlicher Wagen, super schöne Umgebung auf dem Land und trotzdem so zentral gelegen. Einkaufsmöglichkeiten in der Nähe und sehr freundliche Nachbarn:) Wir haben uns sofort wohl gefühlt und können es nur allen empfehlen!!
557;"Was für ein herrliches Plätzchen an Ruhe, Natur und Gastfreundschaft in unmittelbarer Nähe der geschäftigen Stadt!
Wir haben uns in dem stilvollen, durchdachten und gemütlichen Wagen rundum zuhause gefühlt: freundliche + unkomplizierte Gastgeberin, köstliches Frühstück, umgeben von Wald, Wiesen & Feldern, mit der Straßenbahn in 15 Minuten am Hauptbahnhof…
Gerne kommen wir wieder und empfehlen dieses Kleinod weiter, danke Line!"
557;War als Überraschungsgeschenk für meine Tochter und ihren Freund geplant und absolut gelungen 😀. Sie hatten einen wunderbaren Aufenthalt. Line war nicht anwesend - trotzdem hat alles wunderbar geklappt und die Kommunikation klappte immer sehr schnell und unkompliziert. Werde euren wunderbaren Ort auf jeden Fall weiter empfehlen und hoffentlich auch selbst mal dort eine Auszeit geniessen.
557;Wunderbar ruhiger Ort zum Entspannen nach einem Tag Sightseeing in Zürich. Wir durften die Feuerstelle, das Trampolin und die Schaukeln mitbenutzen. Auch die Tiere fand unsere Tochter toll. Das Tiny Housse ist sehr geschmackvoll eingerichtet und hat alles, was es braucht für einen angenehmen Aufenthalt (Stauraum, Badezimmer, Kühlschrank, Kaffee-Maschine, Tisch drinnen und draussen, etc.). Wir kommen sicher wieder.
557;Sehr schöner Ort mit toller Ausstattung - wir hatten eine tolle Zeit.
